event,runner_id,pace,distance,start_offset
10k,1000,3.366666667,10,0
10k,1001,3.366666667,10,0
10k,1002,3.633333333,10,0
10k,1003,3.766666667,10,3
10k,1004,3.8,10,0
10k,1005,3.85,10,3
10k,1006,3.9,10,0
10k,1007,3.933333333,10,0
10k,1008,3.95,10,0
10k,1009,3.966666667,10,0
10k,1010,3.983333333,10,0
10k,1011,4.033333333,10,3
10k,1012,4.066666667,10,0
10k,1013,4.1,10,0
10k,1014,4.116666667,10,0
10k,1015,4.133333333,10,2
10k,1016,4.266666667,10,2
10k,1017,4.316666667,10,2
10k,1018,4.366666667,10,0
10k,1019,4.416666667,10,2
10k,1020,4.45,10,2
10k,1021,4.45,10,2
10k,1022,4.5,10,2
10k,1023,4.55,10,3
10k,1024,4.533333333,10,9
10k,1025,4.55,10,4
10k,1026,4.533333333,10,13
10k,1027,4.516666667,10,27
10k,1028,4.566666667,10,2
10k,1029,4.566666667,10,3
10k,1030,4.55,10,12
10k,1031,4.583333333,10,0
10k,1032,4.616666667,10,3
10k,1033,4.65,10,8
10k,1034,4.65,10,5
10k,1035,4.666666667,10,0
10k,1036,4.683333333,10,7
10k,1037,4.616666667,10,45
10k,1038,4.7,10,0
10k,1039,4.716666667,10,3
10k,1040,4.716666667,10,6
10k,1041,4.8,10,5
10k,1042,4.8,10,7
10k,1043,4.833333333,10,3
10k,1044,4.833333333,10,18
10k,1045,4.85,10,11
10k,1046,4.866666667,10,7
10k,1047,4.883333333,10,8
10k,1048,4.883333333,10,13
10k,1049,4.9,10,5
10k,1050,4.9,10,5
10k,1051,4.9,10,5
10k,1052,4.916666667,10,5
10k,1053,4.85,10,51
10k,1054,4.916666667,10,14
10k,1055,4.916666667,10,14
10k,1056,4.916666667,10,12
10k,1057,4.933333333,10,9
10k,1058,4.95,10,4
10k,1059,4.95,10,6
10k,1060,4.95,10,1
10k,1061,4.95,10,6
10k,1062,4.966666667,10,0
10k,1063,4.966666667,10,8
10k,1064,4.983333333,10,3
10k,1065,4.983333333,10,13
10k,1066,5,10,4
10k,1067,5.016666667,10,3
10k,1068,4.966666667,10,40
10k,1069,5.033333333,10,17
10k,1070,5.05,10,2
10k,1071,5.066666667,10,7
10k,1072,5.016666667,10,38
10k,1073,5.05,10,26
10k,1074,5.066666667,10,20
10k,1075,5.1,10,8
10k,1076,5.083333333,10,15
10k,1077,5.1,10,21
10k,1078,5.116666667,10,14
10k,1079,5.133333333,10,7
10k,1080,5.133333333,10,4
10k,1081,5.133333333,10,7
10k,1082,5.133333333,10,9
10k,1083,5.15,10,5
10k,1084,5.166666667,10,6
10k,1085,5.166666667,10,7
10k,1086,5.15,10,18
10k,1087,5.116666667,10,39
10k,1088,5.133333333,10,27
10k,1089,5.166666667,10,6
10k,1090,5.15,10,19
10k,1091,5.133333333,10,49
10k,1092,5.183333333,10,28
10k,1093,5.216666667,10,24
10k,1094,5.216666667,10,28
10k,1095,5.25,10,4
10k,1096,5.266666667,10,7
10k,1097,5.25,10,16
10k,1098,5.25,10,15
10k,1099,5.25,10,24
10k,1100,5.25,10,27
10k,1101,5.266666667,10,23
10k,1102,5.266666667,10,23
10k,1103,5.283333333,10,23
10k,1104,5.283333333,10,22
10k,1105,5.3,10,7
10k,1106,5.283333333,10,20
10k,1107,5.283333333,10,20
10k,1108,5.3,10,27
10k,1109,5.316666667,10,18
10k,1110,5.333333333,10,14
10k,1111,5.333333333,10,12
10k,1112,5.35,10,10
10k,1113,5.333333333,10,28
10k,1114,5.366666667,10,10
10k,1115,5.366666667,10,3
10k,1116,5.35,10,13
10k,1117,5.383333333,10,11
10k,1118,5.4,10,5
10k,1119,5.366666667,10,27
10k,1120,5.383333333,10,13
10k,1121,5.4,10,13
10k,1122,5.416666667,10,5
10k,1123,5.4,10,16
10k,1124,5.416666667,10,10
10k,1125,5.35,10,52
10k,1126,5.416666667,10,18
10k,1127,5.433333333,10,11
10k,1128,5.45,10,6
10k,1129,5.45,10,8
10k,1130,5.416666667,10,33
10k,1131,5.45,10,10
10k,1132,5.45,10,9
10k,1133,5.416666667,10,28
10k,1134,5.433333333,10,26
10k,1135,5.383333333,10,60
10k,1136,5.45,10,22
10k,1137,5.4,10,46
10k,1138,5.45,10,18
10k,1139,5.45,10,19
10k,1140,5.466666667,10,9
10k,1141,5.483333333,10,8
10k,1142,5.466666667,10,21
10k,1143,5.466666667,10,22
10k,1144,5.5,10,10
10k,1145,5.5,10,9
10k,1146,5.466666667,10,23
10k,1147,5.45,10,38
10k,1148,5.5,10,8
10k,1149,5.516666667,10,13
10k,1150,5.516666667,10,16
10k,1151,5.466666667,10,47
10k,1152,5.466666667,10,47
10k,1153,5.533333333,10,13
10k,1154,5.516666667,10,21
10k,1155,5.533333333,10,16
10k,1156,5.533333333,10,21
