event,runner_id,pace,distance
10K,1000,3.366666667,10.0
10K,1001,3.366666667,10.0
10K,1002,3.633333333,10.0
10K,1003,3.766666667,10.0
10K,1004,3.8,10.0
10K,1005,3.85,10.0
10K,1006,3.9,10.0
10K,1007,3.933333333,10.0
10K,1008,3.95,10.0
10K,1009,3.966666667,10.0
10K,1010,3.983333333,10.0
10K,1011,4.033333333,10.0
10K,1012,4.066666667,10.0
10K,1013,4.1,10.0
10K,1014,4.116666667,10.0
10K,1015,4.133333333,10.0
10K,1016,4.266666667,10.0
10K,1017,4.316666667,10.0
10K,1018,4.366666667,10.0
10K,1019,4.416666667,10.0
10K,1020,4.45,10.0
10K,1021,4.45,10.0
10K,1022,4.5,10.0
10K,1023,4.55,10.0
10K,1024,4.533333333,10.0
10K,1025,4.55,10.0
10K,1026,4.533333333,10.0
10K,1027,4.516666667,10.0
10K,1028,4.566666667,10.0
10K,1029,4.566666667,10.0
10K,1030,4.55,10.0
10K,1031,4.583333333,10.0
10K,1032,4.616666667,10.0
10K,1033,4.65,10.0
10K,1034,4.65,10.0
10K,1035,4.666666667,10.0
10K,1036,4.683333333,10.0
10K,1037,4.616666667,10.0
10K,1038,4.7,10.0
10K,1039,4.716666667,10.0
10K,1040,4.716666667,10.0
10K,1041,4.8,10.0
10K,1042,4.8,10.0
10K,1043,4.833333333,10.0
10K,1044,4.833333333,10.0
10K,1045,4.85,10.0
10K,1046,4.866666667,10.0
10K,1047,4.883333333,10.0
10K,1048,4.883333333,10.0
10K,1049,4.9,10.0
10K,1050,4.9,10.0
10K,1051,4.9,10.0
10K,1052,4.916666667,10.0
10K,1053,4.85,10.0
10K,1054,4.916666667,10.0
10K,1055,4.916666667,10.0
10K,1056,4.916666667,10.0
10K,1057,4.933333333,10.0
10K,1058,4.95,10.0
10K,1059,4.95,10.0
10K,1060,4.95,10.0
10K,1061,4.95,10.0
10K,1062,4.966666667,10.0
10K,1063,4.966666667,10.0
10K,1064,4.983333333,10.0
10K,1065,4.983333333,10.0
10K,1066,5.0,10.0
10K,1067,5.016666667,10.0
10K,1068,4.966666667,10.0
10K,1069,5.033333333,10.0
10K,1070,5.05,10.0
10K,1071,5.066666667,10.0
10K,1072,5.016666667,10.0
10K,1073,5.05,10.0
10K,1074,5.066666667,10.0
10K,1075,5.1,10.0
10K,1076,5.083333333,10.0
10K,1077,5.1,10.0
10K,1078,5.116666667,10.0
10K,1079,5.133333333,10.0
10K,1080,5.133333333,10.0
10K,1081,5.133333333,10.0
10K,1082,5.133333333,10.0
10K,1083,5.15,10.0
10K,1084,5.166666667,10.0
10K,1085,5.166666667,10.0
10K,1086,5.15,10.0
10K,1087,5.116666667,10.0
10K,1088,5.133333333,10.0
10K,1089,5.166666667,10.0
10K,1090,5.15,10.0
10K,1091,5.133333333,10.0
10K,1092,5.183333333,10.0
10K,1093,5.216666667,10.0
10K,1094,5.216666667,10.0
10K,1095,5.25,10.0
10K,1096,5.266666667,10.0
10K,1097,5.25,10.0
10K,1098,5.25,10.0
10K,1099,5.25,10.0
10K,1100,5.25,10.0
10K,1101,5.266666667,10.0
10K,1102,5.266666667,10.0
10K,1103,5.283333333,10.0
10K,1104,5.283333333,10.0
10K,1105,5.3,10.0
10K,1106,5.283333333,10.0
10K,1107,5.283333333,10.0
10K,1108,5.3,10.0
10K,1109,5.316666667,10.0
10K,1110,5.333333333,10.0
10K,1111,5.333333333,10.0
10K,1112,5.35,10.0
10K,1113,5.333333333,10.0
10K,1114,5.366666667,10.0
10K,1115,5.366666667,10.0
10K,1116,5.35,10.0
10K,1117,5.383333333,10.0
10K,1118,5.4,10.0
10K,1119,5.366666667,10.0
10K,1120,5.383333333,10.0
10K,1121,5.4,10.0
10K,1122,5.416666667,10.0
10K,1123,5.4,10.0
10K,1124,5.416666667,10.0
10K,1125,5.35,10.0
10K,1126,5.416666667,10.0
10K,1127,5.433333333,10.0
10K,1128,5.45,10.0
10K,1129,5.45,10.0
10K,1130,5.416666667,10.0
10K,1131,5.45,10.0
10K,1132,5.45,10.0
10K,1133,5.416666667,10.0
10K,1134,5.433333333,10.0
10K,1135,5.383333333,10.0
10K,1136,5.45,10.0
10K,1137,5.4,10.0
10K,1138,5.45,10.0
10K,1139,5.45,10.0
10K,1140,5.466666667,10.0
10K,1141,5.483333333,10.0
10K,1142,5.466666667,10.0
10K,1143,5.466666667,10.0
10K,1144,5.5,10.0
10K,1145,5.5,10.0
10K,1146,5.466666667,10.0
10K,1147,5.45,10.0
10K,1148,5.5,10.0
10K,1149,5.516666667,10.0
10K,1150,5.516666667,10.0
10K,1151,5.466666667,10.0
10K,1152,5.466666667,10.0
10K,1153,5.533333333,10.0
10K,1154,5.516666667,10.0
10K,1155,5.533333333,10.0
10K,1156,5.533333333,10.0
